ID,Name,Address,Rating,Rating_Count,Open_Close,Description,Latitude,Longitude,Sessional,TypeTravel,TourID,Ordinal_Numbers
1,Nhà thờ Domaine de Marie,"1 Ngô Quyền, Phường 6, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",4.5,6084,07:00–17:30,"Nhà thờ màu hồng nổi tiếng, tọa lạc trong khung cảnh yên bình, có khu vườn đẹp và cửa hàng nhỏ.",11.94967124,108.4302471,Sáng,Tham quan,1,1
2,DINH BẢO ĐẠI III,"1 Đường Triệu Việt Vương, Phường 4, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,7232,07:00–17:30,"Cung điện rộng lớn của vị hoàng đế cuối cùng tại Việt Nam, hoàn thành năm 1938 với các chuyến tham quan và vườn kiểng.",11.93031294,108.4295772,Sáng,Tham quan,1,2
3,Ga Đà Lạt,"7a Nguyễn Trãi, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.3,2254,Cả ngày,"Đầu tiên, bạn gửi xe tại bãi xe của ga Đà Lạt. Sau đó bạn có thể thăm quan ga hoàn toàn miền phí. Nếu muốn trải nghiệm đi tàu thì có thể mua vé. Khung giờ chạy có tại nhà ga. Ngoài ra còn có bán đồ lưu niệm và cây cảnh.",11.94154054,108.4542559,Chiều,Tham quan,1,3
4,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.94466982,108.4994156,Chiều,Tham quan,1,4
5,Chợ Đêm Đà Lạt,"6b Đường Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng 690000, Việt Nam",4.2,11479,Cả ngày,"Khu chợ tấp nập các quầy hàng bán đồ gia dụng, đồ khô và món ăn địa phương chế biến sẵn.",11.94158381,108.4372788,Tối,Ăn uống ,1,5
6,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.93959282,108.4451687,Sáng,Tham quan,1,1
7,Thung lũng Tình Yêu,"5 - 7 Đường Mai Anh Đào, Phường 8, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",4.4,12479,07:00–22:00,"Công viên lãng mạn có tác phẩm ng.thuật kỳ lạ, vườn đặc sắc và hồ nước có những chiếc thuyền hình thiên nga.",11.97824231,108.4489072,Sáng,Tham quan,1,2
8,Trường Cao đẳng Sư phạm Đà Lạt,"109 Yersin, Phường 10, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,817,07:00–17:30,Một địa điểm tuyệt vời để chụp những bức ảnh đẹp. Nên đi vào sáng sớm và chiều muộn để có những bức ảnh ấn tượng hơn.,11.94561424,108.4527297,Chiều,Tham quan,1,3
9,Showroom Hoa Khô,"7A/1 Đào Đà Lạt, Đường Mai Anh Đào, Phường 8, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4,403,07:00–17:30,Show room trưng bày hoa được sấy khô với công nghệ của Nhật. Thích hợp cho nhưng ai có nhu cầu mua hoa về trang trí mà không thích hoa giả. Ngoài ra phía sau khuôn viên có 1 quán cafe ngồi từ đây có thể ngắm dc thung lũng tình yêu. Sản phẩm có đủ mọi mức giá cho đủ mọi nhu cầu. Từ vài chục ngàn đến vài triệu,11.98170628,108.4489072,Chiều,Vui chơi,1,4
10,Cáp Treo Đà Lạt,"WCCV+PHR Cáp Treo Đồi Robin ở, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,22,07:00–17:30,"Mát mẻ , thiên nhiên gần gủi , thác nước đẹp",11.92200144,108.4489072,Sáng,Tham quan,1,1
